"地点名称","楼盘名称","地址","纬度","经度"
"安秀苑 A座 33樓 19室",NA,NA,NA,NA
"安秀苑 B座 5樓 27室",NA,NA,NA,NA
"安秀苑 A座 13樓 2室",NA,NA,NA,NA
"安秀苑 A座 10樓 27室",NA,NA,NA,NA
"安秀苑 A座 10樓 1室",NA,NA,NA,NA
"安秀苑 A座 24樓 22室",NA,NA,NA,NA
"安樺苑 B座 12樓 6室",NA,NA,NA,NA
"啟欣苑 B座 22樓 9室",NA,NA,NA,NA
"啟欣苑 A座 11樓 11室","泰萊創作","Hong Kong, 香港九龍九龍灣 宏照道11號 寶隆中心A座5樓501室",22.32499,114.209052
"啟欣苑 A座 10樓 12室",NA,NA,NA,NA
"啟欣苑 A座 35樓 18室",NA,NA,NA,NA
"啟欣苑 B座 29樓 19室",NA,NA,NA,NA
"啟欣苑 B座 33樓 1室",NA,NA,NA,NA
"頌雅苑 頌善閣 (B座) 7樓 3室","Chung Nga Court Block B Chung Sin House","Chung Nga Court Block B Chung Sin House, 8 Chung Nga Rd, Tai Po, Hong Kong",22.4594075,114.1707125
"丹桂軒 車位 地下 7號",NA,NA,NA,NA
"漁暉苑 美暉閣 (C座) 六樓 3室","Yue Fai Court Mei Fai House","Yue Fai Court Mei Fai House, 45 Yue Kwong Rd, Aberdeen, Hong Kong",22.2496421,114.1567315
"豪景花園 3期 車位 3樓 7號(車場D)",NA,NA,NA,NA
"金獅花園 1期 金輝閣 (E座) 十六樓 5室",NA,NA,NA,NA
"粉嶺名都 嘉麗閣 (7座) 13樓 D室",NA,NA,NA,NA
"新都城 3期 都會豪庭 4座 25樓 E室","Metropolis,Metro City Phase 3","8 Mau Yip Rd, Metro City, Hong Kong",22.322381,114.257139
"安國新邨 26座 一樓 後座","On Kwok Villa Block 26","On Kwok Villa Block 26, Tin Ping Rd, Sheung Shui, Hong Kong",22.5048645,114.1338213
"碧湖花園 3座 27樓 D室","碧湖花園3座","Hong Kong, Fanling, 順便智能櫃(家品區碧湖商場AEON高層地下22至29號舖及29A號舖",22.487766,114.142677
"啟豐園 4座 23樓 A室","Richland Garden Block 4","Richland Garden Block 4, 138 Wu Chui Rd, Tuen Mun, Hong Kong",22.3729637,113.9648217
"地士道街8號 四樓 A室","四 a","四 a, 8 Thistle St, Mong Kok, Hong Kong",22.3173134,114.1673666
"綠楊新邨 C座 25樓 8室","Luk Yeung Sun Chuen Block C","Luk Yeung Sun Chuen Block C, 22-66 Wai Tsuen Rd, Tsuen Wan, Hong Kong",22.3740403,114.120502
"好順福大廈 19樓 I室","Poon Man Yin, John Winston","Hong Kong, 香港元朗青山公路99-109號 元朗貿易中心20樓, 19樓及18樓A室",22.451341,114.028682
"賀龍居 3座 19樓 D室",NA,NA,NA,NA
"賀龍居 車位 1樓 1074號",NA,NA,NA,NA
"荃灣中心 安慶樓 (5座) 9樓 E室","Tsuen Wan Centre Anking House","Tsuen Wan Centre Anking House, 97 Tsuen King Circuit, Hong Kong",22.3780014,114.1073565
"兆禧閣 18樓 A室","Siu On Court Block C Ting Hei House","Hong Kong, 屯門鄉事會路",22.3894269,113.9755551
"迎濤灣 1座 (A座) 31樓 A室","Marbella Tower 1","Marbella Tower 1, 23 On Chun St, Ma On Shan, Hong Kong",22.4253405,114.2272777
"擎天半島 車位 1樓 117號",NA,NA,NA,NA
"大興花園 2期 3座 5樓 A室","大興花園二期五座","Tai Hing Garden Phase 2 Block 5, 5號 Ho Hing Circuit, Tuen Mun, Hong Kong",22.3993524,113.9707266
"玖瓏山 月瓏閣 第2座 5樓 C室","Rragons Range Court B Tower 2","Rragons Range Court B Tower 2, Dragons Range, 33 Lai Ping Rd, Kau To Shan, Hong Kong",22.4130269,114.1993459
"玖瓏山 車位 低層地下 LG175號","Dragons Range","Dragons Range, 33 Lai Ping Rd, Kau To Shan, Hong Kong",22.413598,114.1994832
"海峰園 車位 2樓 30號","Harbour Heights (Open Space) Car Park (Wilson Parking)","5 Fook Yum Rd, Causeway Bay, Hong Kong",22.288191,114.190511
"翠麗花園 3座 16樓 B室","Tsui Lai Garden Block 3","Tsui Lai Garden Block 3, 9 Fung Nam Rd, Sheung Shui, Hong Kong",22.5085238,114.1288171
"宏景花園 5座 30樓 E室","Grand View Garden","185號 Hammer Hill Rd, Sheung Yuen Leng, Hong Kong",22.3411704,114.2080904
"啟鑽苑 5座 (啟湖閣) 7樓 6室","Kai Chuen Court","235號 Choi Hung Rd, Tai Hom, Hong Kong",22.3393001,114.2000991
"啟鑽苑 4座 (啟濤閣) 26樓 16室",NA,NA,NA,NA
"傲玟 3座 17樓 D室",NA,NA,NA,NA
"司徒拔道47A號 7樓 A室","7 a","7 a, 47 Stubbs Rd, Happy Valley, Hong Kong",22.268496,114.17605
"灝景灣 2期 5座 31樓 F室",NA,NA,NA,NA
"嘉景花園 D座 六樓 F室","嘉景花園D座","Grandview Garden Block D, 18號 San Shan Rd, To Kwa Wan, Hong Kong",22.3206297,114.1891476
"偉晴閣 九樓 B2室",NA,NA,NA,NA
"福群大廈 2樓 C室",NA,NA,NA,NA
"銀禧花園 車位 2樓 88號",NA,NA,NA,NA
"海璇 2B-3期 海璇 II 1座 11樓 A室",NA,NA,NA,NA
"翠濤居 車位 地下 90號","Palm Cove Tower 1","Palm Cove Tower 1, 168 Castle Peak Road-Castle Peak Bay, Tuen Mun, Hong Kong",22.3803694,113.980248
"滙都 1期 滙都 I 2座 2樓 B02室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 1樓 B02室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 2樓 A03室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 2樓 A05室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 3樓 B09室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 7樓 A09室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 8樓 B08室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 9樓 B08室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 9樓 B09室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 10樓 A01室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 11樓 B07室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 12樓 B02室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 12樓 B06室",NA,NA,NA,NA
"珀麗灣 3期 25座 22樓 F室","Park Island Tower 25","Park Island Tower 25, 8 Pak Lai Rd, Park Island, Hong Kong",22.3531502,114.0604614
"港島南岸 1期 晉環 1座 (1B) 15樓 B室",NA,NA,NA,NA
"Yoho Town 1期 9座 3樓 A室","Yoho Town Tower 1","Yoho Town Tower 1, 8 Yuen Lung St, Yuen Long, Hong Kong",22.4422974,114.0373256
"和富中心 車位 地下 214號",NA,NA,NA,NA
"寶翠園 2期 6座 23樓 G室",NA,NA,NA,NA
"Grand Yoho 1期 1座 31樓 A室",NA,NA,NA,NA
"海悅花園 1座 26樓 E室","Serene Garden Block 1","Serene Garden Block 1, Tsing Yi, Hong Kong",22.3536105,114.1074725
"尚巒 12樓 F室",NA,NA,NA,NA
"德福花園 F座 7樓 12室",NA,NA,NA,NA
"Double Coast 1期 Double Coast I 5座 6樓 C室",NA,NA,NA,NA
"高臨 A1座 29樓 B室",NA,NA,NA,NA
"聚龍居 9座 7樓 A室","Parc Royale","Parc Royale Club House, 8 Hin Tai St, Tai Wai, Hong Kong",22.3626576,114.1759184
"啟岸 18樓 C3室",NA,NA,NA,NA
"富嘉花園 3座 13樓 D室","Grandway Garden","35 Tsuen Nam Rd, Tai Wai, Hong Kong",22.373728,114.1779371
"The Yoho Hub C期 The Yoho Hub II 6座 15樓 C室",NA,NA,NA,NA
"吉喆 12樓 A室",NA,NA,NA,NA
"啟欣苑 A座 33樓 2室",NA,NA,NA,NA
"港島南岸 1期 晉環 2座 (2B) 12樓 A室",NA,NA,NA,NA
"蔚晴軒 36樓 B室",NA,NA,NA,NA
"怡翠苑 逸怡閣 (B座) 四樓 7室","怡翠苑：B座（逸怡閣）","Hong Kong, Chai Wan, B座504室 Yee Tsui Court Cheong Yee House",22.2647547,114.2388625
"金富大廈 15樓 A4室","Peace Building","Peace Building, 3 Peace Ave, Ho Man Tin, Hong Kong",22.3180108,114.1744272
"御龍山 1座 12樓 B室","The Palazzo Tower 1","The Palazzo Tower 1, 28 Lok King St, Fo Tan, Hong Kong",22.3942277,114.198915
"勝興樓 四樓 E室","勝興樓","Shing Hing Building, Lai Chi Kok Rd, Prince Edward, Hong Kong",22.3243357,114.1662092
"嵐岸 7座 7樓 A室","Sausalito Tower 7","Sausalito Tower 7, 1 Yuk Tai St, Ma On Shan, Hong Kong",22.4119818,114.2228347
"滿名山 滿庭 7座 3樓 D室",NA,NA,NA,NA
"駿豪閣 車位 車庫2層 13號","Juntaihao Business Center Underground Garage Parking Lot","China, Guangdong Province, Shenzhen, Baoan, 97, 东南方向120米 邮政编码: 518103",22.6875361,113.8018471
"海怡半島 4期 御庭園 御泉居 (32座) 27樓 C室","South Horizons The Oasis Podium Garden","Ap Lei Chau, Hong Kong",22.2430894,114.1496739
"昇悅居 8座 9樓 H室","liberté","833 Lai Chi Kok Rd, Cheung Sha Wan, Hong Kong",22.3346889,114.149032
"鵬程苑 9樓 11室",NA,NA,NA,NA
"綠楊新邨 F座 18樓 6室","Luk Yeung Sun Chuen Block F","Luk Yeung Sun Chuen Block F, 22-66 Wai Tsuen Rd, Tsuen Wan, Hong Kong",22.3739376,114.1190596
"青山道154號 五樓 B室","五 b","五 b, 154 Castle Peak Rd, Lei Cheng Uk, Hong Kong",22.335888,114.1598098
"康樂園 第五街 30號","Hong Lok Yuen - 30 5th Street","Hong Lok Yuen - 30 5th Street, 30 Hong Lok Yuen 5th St, Hong Lok Yuen, Hong Kong",22.461033,114.1539795
"南豐新邨 11座 26樓 G室","Nan Fung Sun Chuen","21 Greig Cres, Quarry Bay, Hong Kong",22.2822897,114.2144634
"荃灣中心 杭州樓 (3座) 18樓 H室",NA,NA,NA,NA
"麗港城 4期 21座 24樓 G室","Laguna City Phase 4 Car Park","Laguna City Block 23, 15 Laguna St, Sai Tso Wan, Hong Kong",22.306087,114.226791
"德福花園 Q座 10樓 12室",NA,NA,NA,NA
"博康邨 博文樓 (1座) 19樓 21室","Pok Hong Estate Pok Man House","Pok Hong Estate Pok Man House, 6 Sha Kok St, Sha Tin, Hong Kong",22.3748517,114.1917274
"日出康城 9期B Grand Marini 2座 (2A) 48樓 A室",NA,NA,NA,NA
"新都城 3期 都會豪庭 車位 地庫 RC249號",NA,NA,NA,NA
"駿逸峰 31樓 A室","The Morrison","28 Yat Sin St, Morrison Hill, Hong Kong",22.277746,114.179457
"碧堤半島 2期 2座 45樓 D室",NA,NA,NA,NA
"Belgravia Place 1期 1B座 2樓 12室",NA,NA,NA,NA
"林海山城 16座",NA,NA,NA,NA
"山翠苑 翠碧閣 (D座) 4樓 4室",NA,NA,NA,NA
"泓碧 H18座",NA,NA,NA,NA
"沙田第一城 1期 10座 18樓 C室",NA,NA,NA,NA
"錦豐苑 錦菱閣 (B座) 4樓 5室","Kam Fung Court Block B Kam Ning House","Kam Fung Court Block B Kam Ning House, 638 Sai Sha Rd, Ma On Shan, Hong Kong",22.4241117,114.2259387
"錦英苑 錦悅閣 (G座) 十八樓 10室","錦英苑：G座（錦悅閣）","Kam Ying Court Block G Kam Yuet House, 9 Kam Ying Rd, Ma On Shan, Hong Kong",22.4219438,114.2359789
"東裕大廈 1樓 A室",NA,NA,NA,NA
"涵碧別墅 四樓 3A室","Hamburg Villa","Hamburg Villa, 8-10 Eastbourne Rd, Beacon Hill, Hong Kong",22.3431446,114.1770725
"雲滙 2期 11座 15樓 B1室",NA,NA,NA,NA
"逸意居 1座 16樓 C室",NA,NA,NA,NA
"藍灣半島 6座 35樓 B室","Island Resort Block 6","Island Resort Block 6, 28 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",22.2663354,114.2516025
"兆禧苑 安禧閣 (A座) 五樓 15室","Siu Hei Court On Hei House","Siu Hei Court On Hei House, 201 Wu Chui Rd, Tuen Mun, Hong Kong",22.3731717,113.9676745
"愛琴海岸 3座 15樓 H室","Aegean Coast Tower 3","Aegean Coast Tower 3, 2 Kwun Tsing Rd, So Kwun Wat, Hong Kong",22.3723014,113.9946981
"愛琴海岸 2座 23樓 C室","Aegean Coast Tower 2","Aegean Coast Tower 2, 2 Kwun Tsing Rd, So Kwun Wat, Hong Kong",22.3720178,113.9948375
"港島南岸 3C期 Blue Coast II 5座 25樓 D室",NA,NA,NA,NA
"東堤灣畔 車位 P1樓(南) D5號",NA,NA,NA,NA
"The Holborn B座 7樓 B8室",NA,NA,NA,NA
"葵俊苑 葵豐閣 (C座) 35樓 7室",NA,NA,NA,NA
"帝堡城 車位 2樓 P264號",NA,NA,NA,NA
"Belgravia Place 1期 1A座 25樓 2室",NA,NA,NA,NA
"維港滙 3期 1座 (1B) 19樓 G室",NA,NA,NA,NA
"匯景花園 8座 3樓 G室","Sceneway Garden","1, 17 Sceneway Rd, Sceneway Garden, Hong Kong",22.3069935,114.2331127
"海茵莊園 2座 27樓 B5室",NA,NA,NA,NA
"朗庭園 3座 21樓 B室","Villa By The Park Block 3","Villa By The Park Block 3, 139 Castle Peak Road-Ping Shan, Yuen Long, Hong Kong",22.4446099,114.0176216
"東亞花園 大發樓 14樓 1室","East Asia Gardens Tai Fat House","East Asia Gardens Tai Fat House, 2 Tsuen Wing St, Tsuen Wan, Hong Kong",22.3682459,114.121849
"愉城苑 城欣閣 (A座) 八樓 6室","Yue Shing Court Shing Yan House","Yue Shing Court Shing Yan House, 12 Tai Chung Kiu Rd, Sha Tin, Hong Kong",22.3781639,114.1922778
"海典灣 車位 低層地下 LG129號",NA,NA,NA,NA
"麗都花園 4座 27樓 H室","Lido Garden Block 4","Lido Garden Block 4, 41-63 Castle Peak Road-Sham Tseng, Sham Tseng, Hong Kong",22.3664092,114.059509
"綠楊新邨 K座 9樓 1室","Luk Yeung Sun Chuen Block K","Luk Yeung Sun Chuen Block K, 22-66 Wai Tsuen Rd, Tsuen Wan, Hong Kong",22.3726836,114.1215006
"富怡花園 5座 13樓 E室","Cheerful Garden Block 5","Cheerful Garden Block 5, 23 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",22.2628166,114.2507286
"金來大廈 十一樓 I室","Kinley Building","Kinley Building, Kam Wa St, Shau Kei Wan, Hong Kong",22.2778928,114.229174
"翠峰小築 2座 3樓 C室","Castle Peak Court Block 2","Castle Peak Court Block 2, 134 Castle Peak Road-Castle Peak Bay, Tuen Mun, Hong Kong",22.378729,113.9819439
"太古城 海天花園 恆天閣 (59座) 24樓 D室",NA,NA,NA,NA
"佳景樓 1樓 A室",NA,NA,NA,NA
"佳景樓 3樓 A室",NA,NA,NA,NA
"衙前圍道84A號 三樓 84A號","三 84a","三 84a, 84 Nga Tsin Wai Road, 84 Nga Tsin Wai Rd, Kowloon City, Hong Kong",22.3290709,114.1897738
"南角道34號 四樓 34號","四 34 号","四 34 号, 34 Nam Kok Rd, Kowloon City, Hong Kong",22.329339,114.190047
"太古城 高山台 車位 地下 175 號(3-11)",NA,NA,NA,NA
"101 Kings Road 6樓 A室","6 a","6 a, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 8樓 F室","8 f","8 f, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 8樓 J室","8 j","8 j, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 11樓 B室","11 b","11 b, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 11樓 F室","11 f","11 f, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 19樓 F室","19 f","19 f, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 19樓 J室","19 j","19 j, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 22樓 F室","22 f","22 f, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 26樓 F室","26 f","26 f, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 26樓 J室","26 j","26 j, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 9樓 F室","9 f","9 f, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 9樓 J室","9 j","9 j, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 11樓 J室","11 j","11 j, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 17樓 F室","17/F","17/F, 101 King's Rd, North Point, Hong Kong",22.2871008,114.1925578
"101 Kings Road 17樓 J室","17 j","17 j, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 20樓 F室","20 f","20 f, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 21樓 J室","21 j","21 j, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 23樓 F室","23 f","23 f, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 23樓 J室","23 j","23 j, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"101 Kings Road 27樓 J室","27 j","27 j, 101 King's Road, 101 King's Rd, Causeway Bay, Hong Kong",22.28716,114.1925112
"海茵莊園 2座 38樓 D3室",NA,NA,NA,NA
"雍明苑 B座 (澤明閣) 8樓 11室",NA,NA,NA,NA
"嘉亨灣 6座 13樓 B室","Grand Promenade Tower 6","Grand Promenade Tower 6, 38 Tai Hong St, Aldrich Bay, Hong Kong",22.2850054,114.2251647
"匯璽 5期 匯璽III 7座 40樓 K室",NA,NA,NA,NA
"好運中心 桂林閣 (D2座) 19樓 A室",NA,NA,NA,NA
"寶珮苑 寶珊閣 (A座) 二樓 6室","Po Pui Court Block A Po Shan House","Hong Kong, Kwun Tong, Po Pui St, 2號, Po Pui Court Block A Po San House, A座",22.3171955,114.2286104
"匯景花園 9座 8樓 C室","Sceneway Garden","1, 17 Sceneway Rd, Sceneway Garden, Hong Kong",22.3069935,114.2331127
"栢蕙苑 寧柏閣 (4座) 26樓 E室",NA,NA,NA,NA
"大同新邨 大益樓 (M座) 十三樓 5室",NA,NA,NA,NA
"錦泰苑 錦邦閣 (B座) 13樓 5室","Kam Tai Court Block B Kam Pong House","Hong Kong, 馬鞍山路",22.4089637,114.2211449
"海茵莊園 2座 36樓 D1室",NA,NA,NA,NA
"高宏苑 A座 43樓 10室",NA,NA,NA,NA
"美松苑 富松閣 (A座) 30樓 2室",NA,NA,NA,NA
"宏豐大廈 浙江街31號 十五樓 B室",NA,NA,NA,NA
"海璇 2B-3期 海璇 II 1座 12樓 B室",NA,NA,NA,NA
"太子道西233號 11樓 B室","11 b","11 b, 233 Prince Edward Rd W, Kadoorie Hill, Hong Kong",22.3253466,114.1767333
"維港頌 7座 9樓 A室",NA,NA,NA,NA
"傲雲峰 5座 47樓 C室","Sky Tower Tower 5","Sky Tower Tower 5, 38 Sung Wong Toi Rd, Ma Tau Chung, Hong Kong",22.3235978,114.1905517
"原築 2座 13樓 H室","La Grove Tower 2","La Grove Tower 2, 83 Shap Pat Heung Rd, Yuen Long, Hong Kong",22.4373042,114.0246888
"迎海 4期 迎海．駿岸 7座 12樓 D室",NA,NA,NA,NA
"啟德1號 I 大廈第1座 27樓 B室",NA,NA,NA,NA
"港景峰 1座 52樓 C室","52 c","52 c, The Victoria Towers Tower 1, 188 Canton Rd, Tsim Sha Tsui, Hong Kong",22.302034,114.1682798
"安寧花園 4座 35樓 B室","On Ning Garden Block 4","On Ning Garden Block 4, 10 Sheung Ning Rd, Hang Hau, Hong Kong",22.3165376,114.2627787
"愉翠苑 愉居閣 (J座) 8樓 2室","Yu Chui Court Block A Yu Fun House","Yu Chui Court Block A Yu Fun House, 6號 Ngau Pei Sha St, Sha Tin, Hong Kong",22.3815283,114.204348
"原築 2座 8樓 D室","La Grove Tower 2","La Grove Tower 2, 83 Shap Pat Heung Rd, Yuen Long, Hong Kong",22.4373042,114.0246888
"新都城 2期 8座 17樓 F室",NA,NA,NA,NA
"永明樓 八樓 D室","Wing Ming Building","Wing Ming Building, 110-122 Ting On St, Ngau Tau Kok, Hong Kong",22.3184787,114.21533
"雲滙 1期 1座 9樓 A2室",NA,NA,NA,NA
"太安樓 8樓 46室","太安樓櫻","Hong Kong, Sai Wan Ho, Shau Kei Wan Rd, 57-87號號 Tai On Building",22.2827629,114.221994
"耀園花園大廈 12樓 B室",NA,NA,NA,NA
"耀園花園大廈 車位 低層地下 26號",NA,NA,NA,NA
"銀行大廈 3樓 H室",NA,NA,NA,NA
"淘大花園 3期 P座 9樓 6室",NA,NA,NA,NA
"建邦大廈 11樓 A室","建邦大廈","27B Shu Kuk St, North Point, Hong Kong",22.2920935,114.2000054
"金獅花園 1期 金輝閣 (E座) 二十一樓 1室",NA,NA,NA,NA
"啟鑽苑 4座 (啟濤閣) 36樓 5室",NA,NA,NA,NA
"青怡花園 7座 7樓 F室",NA,NA,NA,NA
"河畔花園 C座 三十五樓 3室",NA,NA,NA,NA
"新都城 2期 2座 36樓 C室",NA,NA,NA,NA
"帝景灣 5座 5樓 D室",NA,NA,NA,NA
"黃埔花園 3期 翠楊苑 2座 5樓 F室","黃埔花園三期翠楊苑5座","120號 Baker St, Whampoa Garden, Hong Kong",22.3046948,114.1868509
"天璽．天 1期 3座 38樓 B室",NA,NA,NA,NA
"采頤花園 10座 17樓 G室","Block 1, Rhythm Garden","Rhythm Garden Block 1, 號, 242號 Choi Hung Rd, San Po Kong, Hong Kong",22.3374159,114.2028311
"御海灣 2期 1座 28樓 K室",NA,NA,NA,NA
"怡心園 1座 36樓 E室","Serenity Place Block 1","Serenity Place Block 1, 88 Po Hong Rd, Tseung Kwan O, Hong Kong",22.3224244,114.2531201
"鴻運街25號 五樓 25號","五 25 号","五 25 号, 25 Hung Wan St, Ma Tau Kok, Hong Kong",22.3215945,114.1926181
"香港黃金海岸 1座 10樓 B室","Hong Kong Gold Coast Block 1","Hong Kong Gold Coast Block 1, Castle Peak Bay, 1 Castle Peak Road-Castle Peak Bay, So Kwun Wat, Hong Kong",22.3734048,113.9905943
"聯盛大廈 燕安閣 十四樓 6室",NA,NA,NA,NA
"海天豪苑 12樓 G室","The Blue Yard","The Blue Yard, 1 Tai Uk St, Tsuen Wan, Hong Kong",22.3701469,114.1149047
"天富苑 能富閣 (M座) 36樓 2室","Tin Fu Court Block M Nang Fu House","15 Tin Sau Rd, Tin Shui Wai, Hong Kong",22.464871,114.0001102
"富健花園 8座 28樓 G室","Glorious Garden Block 8","Glorious Garden Block 8, 45 Lung Mun Rd, Tuen Mun, Hong Kong",22.3825794,113.9663323
"富榮花園 15座 5樓 E室","Charming Garden Phase 1 Block 15","Charming Garden Phase 1 Block 15, 8 Hoi Ting Rd, Charming Garden, Hong Kong",22.3142802,114.1652788
"疊茵庭 3座 24樓 H室","Parkland Villas Phase 1 Block 3","Parkland Villas Phase 1 Block 3, 1 Tuen On Ln, Tuen Mun, Hong Kong",22.4100324,113.9820136
"海茵莊園 2座 37樓 A8室",NA,NA,NA,NA
"嘉悅半島 2座 18樓 A室","The Sea Crest Block 2","The Sea Crest Block 2, 1 Hang Kwai St, Tuen Mun, Hong Kong",22.38229,113.9727208
"藍澄灣 3座 16樓 D室","Rambler Crest Tower 3","Rambler Crest Tower 3, 1 Tsing Yi Rd, Tsing Yi, Hong Kong",22.3429184,114.1099313
"蝶翠峰 1樓 211號",NA,NA,NA,NA
"麗晶花園 21座 20樓 A室","丽晶花园一座","Wang Kwong Rd, Kowloon Bay, Hong Kong",22.329365,114.2070248
"山海大廈 四樓 B室","Hill Main Mansion","41號 Ha Heung Rd, To Kwa Wan, Hong Kong",22.3167903,114.188808
"上水名都 巴黎閣 (3座) 中層 C室","Sheung Shui Town Centre Paris Court","Sheung Shui Town Centre Paris Court, 9 Chi Cheong Rd, Sheung Shui, Hong Kong",22.5009463,114.1315105
"藍塘傲 7座 高層 E室",NA,NA,NA,NA
"Grand Austin 1座 低層 A室",NA,NA,NA,NA
"慧景軒 2座 低層 A室","Vianni Cove Tower 2","Vianni Cove Tower 2, 33 Tin Kwai Rd, Tin Shui Wai, Hong Kong",22.4665309,114.0040415
"康華大廈 1座 高層 B室","Hong Wah Mansion Block 1","Hong Wah Mansion Block 1, 18 Nam Hong St, Shau Kei Wan, Hong Kong",22.2782338,114.2260993
"雍明苑 A座 (潤明閣) 中層 23室",NA,NA,NA,NA
"浪澄灣 9座 高層 B室","The Long Beach Tower 9","The Long Beach Tower 9, 8 Hoi Fai Rd, Tai Kok Tsui, Hong Kong",22.3204497,114.1559054
"將軍澳中心 1期 7座 低層 C室",NA,NA,NA,NA
"曼克頓山 3座 高層 E室","Manhattan Hill Tower 3","Manhattan Hill Tower 3, 1 Po Lun St, Lai Chi Kok, Hong Kong",22.3346314,114.1423562
"天晉 海天晉 6A座 低層 C室",NA,NA,NA,NA
"翠怡花園 1期 1座 低層 C室",NA,NA,NA,NA
"御皇臺 低層 E室","Royal Terrace","Royal Terrace, 933 King's Rd, Quarry Bay, Hong Kong",22.2895066,114.2098563
"日出康城 6期 Lp6 3座 低層 B室",NA,NA,NA,NA
"嘉威大廈 A座 高層 1室",NA,NA,NA,NA
"Yoho Town 2期 Yoho Midtown 1座 中層 G室",NA,NA,NA,NA
"明雅苑 明欣閣 (B座) 高層 10室","Ming Nga Court Block B Ming Yan House","Ming Nga Court Block B Ming Yan House, Tai Po, Hong Kong",22.4516224,114.1752465
"太古城 海景花園(西) 紫樺閣 (36座) 低層 C室",NA,NA,NA,NA
"運頭塘邨 運亨樓 (5座) 低層 1室",NA,NA,NA,NA
"富萊花園 1期 銀菊閣 (1座) 低層 C室",NA,NA,NA,NA
"天璽 21座 - 5區 (星鑽) 低層 D室",NA,NA,NA,NA
"毓成大廈 中層 A室","Yuk Sing Building","Yuk Sing Building, Yuk Sau St, Happy Valley, Hong Kong",22.2686657,114.1859394
"愉景新城 2期 6座 高層 G室",NA,NA,NA,NA
"灣景花園 5座 低層 D室","Bayview Garden Block 5","Bayview Garden Block 5, 633 Castle Peak Rd - Tsuen Wan, Tsuen Wan, Hong Kong",22.3700339,114.0999898
"東環 1期 6B座 高層 10室",NA,NA,NA,NA
"翠景花園 1座 中層 F室","Park View Garden","Park View Garden Block 1, 8 Pik Tin St, Tai Wai, Hong Kong",22.3783042,114.172895
"愉景新城 2期 6座 高層 C室",NA,NA,NA,NA
"全．城匯 8座 中層 C室",NA,NA,NA,NA
"映灣園 3期 悅濤軒 11座 高層 F室",NA,NA,NA,NA
"長盛豪苑 中層 B室","Charming Garden","638 Cheung Sha Wan Rd, Cheung Sha Wan, Hong Kong",22.3384845,114.152555
"樂陶苑 D座 低層 14室",NA,NA,NA,NA
"長安邨 安洋樓 (2座) 中層 17室","長安邨2座安洋樓","Cheung On Estate Block 2 On Yeung House, 1 Tam Kon Shan Rd, Tsing Yi, Hong Kong",22.3620698,114.1014776
"溱柏 2座 低層 B室",NA,NA,NA,NA
"尚悅 12座 中層 K室",NA,NA,NA,NA
"映灣園 3期 悅濤軒 10座 低層 H室",NA,NA,NA,NA
